CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
,,,,,,,,,,,
,,7:00,7:10,,,,,,,,
7:45,8:00,8:15,,,,,,,,,
,,8:30,8:40 ,,,,,,,,
8:45,9:00,9:15,9:25 ,,,,,,,,
9:30,9:45,10:00,10:10 ,,,,,,,,
10:15,10:30,10:45,10:55 ,,,,,,,,
11:00,11:15,11:30,11:40 ,,,,,,,,
11:45,12:00,12:15,12:25 ,,,,,,,,
