centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
Oak Bluffs,276758.7559417362,798931.4027765687,41.43682262291646,-70.58161397621386
Rutland,161522.81473487677,903917.2136218695,42.38481383751812,-71.96725775199812
Mattapoisett,256863.71464401684,824571.1388977917,41.669341570219245,-70.81718210463464
Westport,234612.7560149554,816032.0121554099,41.593750241259876,-71.08486445774936
Hopkinton,196878.8473839678,886116.7838922847,42.22550119355274,-71.53780709410299
Russell,87880.44859100028,879984.0533436323,42.162265220026654,-72.8568285201992
Merrimac,239892.9958108642,954342.433103586,42.838671520632985,-71.01204629977133
Northbridge,187207.5509954831,875520.073302722,42.129999689313316,-71.65472428047948
Blandford,80045.5980019218,882845.3267865248,42.186860629234744,-72.95221468247668
Easthampton,103304.96305743397,891182.7399606938,42.26513501645954,-72.67205429036191
North Andover,233895.796118529,935721.4254794635,42.671337086361575,-71.08650431222526
Norton,226179.09628599708,857121.0502080538,41.96401634934698,-71.18418967241915
Hampden,124218.14242385296,868567.554667989,42.0638469852063,-72.41564235028021
Sunderland,113267.2835934644,913266.4165145739,42.46510297385749,-72.55462204826425
West Newbury,243435.3844929388,949390.9608670642,42.79391080683416,-70.96909538563366
Littleton,200896.00737721202,920496.8986073768,42.53502180329091,-71.48909324607781
Haverhill,233781.79599493352,948223.185585771,42.78387977752504,-71.08715682301757
Heath,91813.70587695747,938495.7446951158,42.689514083393654,-72.82019616408144
Sudbury,206309.76154917348,903802.0127729896,42.384700004305444,-71.42337627297965
Rowley,249576.72188420044,941337.6829244341,42.72105050118657,-70.8947315320494
Whately,105842.42555525943,910570.4345999993,42.43997254390405,-72.64445400004686
Bourne,276722.52436627133,830748.3321822857,41.723273544428274,-70.57793241025412
Washington,63672.98380420228,903009.0186083905,42.365678332427855,-73.15511749559809
Williamstown,58360.814626579086,938565.1784770094,42.68475778726496,-73.22834005650502
Shelburne,102889.6141984973,928772.1557864357,42.603454071169715,-72.68340917794366
East Longmeadow,117309.86198298525,868192.3956055576,42.059771468790494,-72.49905197731749
Southampton,97761.94549575828,887450.8679246048,42.23083519509515,-72.73857600034783
Monson,131660.04680307838,871769.9237728255,42.09336125649068,-72.32610541158193
Sandisfield,65784.13446646847,874382.6415854011,42.108367786062004,-73.1228809379838
Erving,123762.63179594748,928974.6897265258,42.60760400413795,-72.42909560906767
Monterey,57329.07295967748,883681.1547582275,42.19057265433161,-73.2273654753174
West Tisbury,270703.6337898481,794792.5233583669,41.40012402173324,-70.65454682362554
Townsend,182655.0503534587,935174.7471758374,42.66696182461272,-71.71157616758629
Winthrop,242527.45157253716,902921.525979718,42.3756398220611,-70.98363112409696
Stockbridge,49573.04207664783,896285.6582210191,42.30257255322148,-73.32450633899317
Orleans,327070.4428928327,837001.596742957,41.77305801094544,-69.97159769628533
Ayer,194108.18249621938,923585.6431383183,42.56280598009419,-71.57175044398933
Oxford,169695.68346185036,875412.5013691032,42.128549464768355,-71.86652233933357
