CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
7:45,8:00,7:00,7:10,,,7:25,7:40,7:50,7:00,7:10,7:28
8:45,9:00,8:15,8:40 ,,,8:55,9:10,9:20,8:15,8:25,8:43
9:30,9:45,8:30,9:25 ,,,9:40,9:55,10:05,9:00,9:10,9:28
10:15,10:30,9:15,10:10 ,,,10:25,10:40,10:50,9:45,9:55,10:13
11:00,11:15,10:00,10:55 ,,,11:10,11:25,11:35,10:30,10:40,10:58
11:45,,10:45,11:40 ,,,11:55,,,11:15,11:25,11:43
,,11:30,,,,,,,,,
